"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"24015","VA","Roanoke","Roanoke City","Roanoke",4598,151700,0.00264375413086583,0.00530152418820411,0.00198150594451783,-0.0103496988298093,0.0100235600447227,"2008-08","2008-Q3",161400,-0.0600991325898389,"2006-08"
2015-02-28,"33711","FL","Tampa","Pinellas","Saint Petersburg",4599,70000,0.00574712643678161,0.0159651669085631,0.0174418604651163,-0.0201507433187436,-0.0442791248545561,"2006-07","2006-Q3",146500,-0.522184300341297,"2002-06"
2015-02-28,"38141","TN","Memphis","Shelby","Memphis",4600,88700,0.00681044267877412,0.0172018348623853,0.0661057692307692,-0.00268400204086405,-0.0190395103610109,"2007-03","2007-Q1",115800,-0.234024179620035,"1997-12"
2015-02-28,"62220","IL","St. Louis","Saint Clair","Belleville",4601,81200,-0.00245700245700246,-0.0109622411693057,-0.0413223140495868,-0.0333345614101734,-0.0102366871002989,"2007-06","2007-Q2",105900,-0.233238904627007,"2003-05"
2015-02-28,"27510","NC","Durham","Orange","Carrboro",4602,229000,0.0035056967572305,0.00394563787812363,0.0186832740213523,-0.0032861312734026,0.0177788584576726,"2009-11","2009-Q4",236300,-0.0308929327126534,"2008-10"
2015-02-28,"27527","NC","Raleigh","Johnston","Clayton",4603,207400,0.00193236714975845,0,0.00630761766132945,0.00125835264193452,0.00758790768737283,"2007-08","2007-Q3",216400,-0.0415896487985213,"2006-08"
2015-02-28,"30728","GA","Chattanooga","Walker","Lafayette",4604,85200,0,-0.0127462340672074,-0.00350877192982456,0.0109116744804305,-0.00266019135620499,"2006-11","2006-Q4",96000,-0.1125,"2004-07"
2015-02-28,"60491","IL","Chicago","Will","Homer Glen",4605,310900,-0.00096401028277635,-0.000642880102860816,0.0669183253260124,-0.000192876444852108,-0.00454801409088901,"2006-07","2006-Q3",356100,-0.126930637461387,"2004-09"
2015-02-28,"94127","CA","San Francisco","San Francisco","San Francisco",4606,1298400,0.0102707749766573,0.027784374257896,0.121630960608155,0.0752644791206663,0.0348943832795656,"2015-02","2015-Q1",1298400,0,"2015-02"
2015-02-28,"06001","CT","Hartford","Hartford","Avon",4607,358000,-0.00306321358952938,-0.00913368391918074,0.0101580135440181,-0.00446471016102312,-0.00452232372076466,"2007-04","2007-Q2",411700,-0.130434782608696,"2004-02"
2015-02-28,"06107","CT","Hartford","Hartford","West Hartford",4608,350200,-0.00171037628278221,-0.01212976022567,-0.0325966850828729,0.0118919093301832,0.0061419450776492,"2014-02","2014-Q1",362000,-0.0325966850828729,"2013-01"
2015-02-28,"34442","FL","Homosassa Springs","Citrus","Hernando",4609,148600,0.000673400673400673,0.0122615803814714,0.0486944248412138,-0.0195284593469764,-0.0307132475189079,"2006-05","2006-Q2",251700,-0.409614620580056,"2002-12"
2015-02-28,"96150","CA","Sacramento","El Dorado","South Lake Tahoe",4610,351800,0.00860091743119266,0.0235670643002619,0.076499388004896,0.00749953241874346,-0.0150967087893354,"2006-05","2006-Q2",482100,-0.270275876374196,"2004-07"
2015-02-28,"33323","FL","Miami-Fort Lauderdale","Broward","Sunrise",4611,261800,0.00499040307101727,0.0115919629057187,0.0751540041067762,0.0502327010323909,-0.00559186466544492,"2006-05","2006-Q2",351100,-0.254343491882655,"2004-12"
2015-02-28,"38133","TN","Memphis","Shelby","Bartlett",4612,120900,0.00248756218905473,0.00666111573688593,0.0324508966695132,0.00452734814283229,-0.00451761977276943,"2006-11","2006-Q4",133300,-0.0930232558139535,"2002-09"
2015-02-28,"08034","NJ","Philadelphia","Camden","Cherry Hill",4613,210800,-0.00378071833648393,-0.0181648812296227,0.0168837433671008,-0.0215006334311674,-0.0135039579514736,"2006-12","2006-Q4",284600,-0.259311314125088,"2004-02"
2015-02-28,"18049","PA","Allentown","Lehigh","Emmaus",4614,184600,0.00489929232444202,0.00271591526344378,0.00271591526344378,-0.00512081542808351,0.00247095477784076,"2007-02","2007-Q1",222100,-0.168842863574966,"2005-05"
2015-02-28,"48854","MI","Lansing","Ingham","Mason",4615,151600,0.0106666666666667,0.0319945541184479,0.0820842255531763,0.019864544210628,-0.0111570186354621,"2005-07","2005-Q3",170900,-0.112931538911644,"2001-11"
2015-02-28,"44149","OH","Cleveland","Cuyahoga","Strongsville",4616,176100,-0.00226628895184136,-0.00508474576271186,0.00859106529209622,-0.000793112260352391,-0.0112026970342888,"2005-05","2005-Q2",199100,-0.115519839276745,"2000-12"
