"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30088","GA","Atlanta-Sandy Springs-Marietta, GA",3149,8,0.9818,13.9013,81,2.0353982300885,4.45161290322581
"Zip","30024","GA","Atlanta-Sandy Springs-Marietta, GA",1020,8,0.9708,11.121,94,3.45132743362832,4.45161290322581
"Zip","30296","GA","Atlanta-Sandy Springs-Marietta, GA",3124,8,1.0047,10.0251,98,0.619469026548673,4.45161290322581
"Zip","30518","GA","Atlanta-Sandy Springs-Marietta, GA",1831,8,0.9807,11.5497,104,3.1858407079646,4.45161290322581
"Zip","30083","GA","Atlanta-Sandy Springs-Marietta, GA",1395,8,0.9722,13.5379,94,5.66371681415929,4.45161290322581
"Zip","30340","GA","Atlanta-Sandy Springs-Marietta, GA",2912,8,0.9795,10.5528,93,1.23893805309735,4.45161290322581
"Zip","30052","GA","Atlanta-Sandy Springs-Marietta, GA",1186,8,0.9697,13.8996,105,8.4070796460177,4.45161290322581
"Zip","30038","GA","Atlanta-Sandy Springs-Marietta, GA",2136,8,0.9741,9.2437,106.5,3.36283185840708,4.45161290322581
"Zip","30030","GA","Atlanta-Sandy Springs-Marietta, GA",2646,8,0.981,10,81,0.442477876106195,4.45161290322581
"Zip","30011","GA","Atlanta-Sandy Springs-Marietta, GA",3745,8,0.9942,12.4224,90,0.973451327433628,4.45161290322581
"Zip","30092","GA","Atlanta-Sandy Springs-Marietta, GA",2247,8,0.973,9.3294,85.5,1.06194690265487,4.45161290322581
"Zip","30273","GA","Atlanta-Sandy Springs-Marietta, GA",3701,8,0.9632,10.2459,90,4.07079646017699,4.45161290322581
"Zip","30044","GA","Atlanta-Sandy Springs-Marietta, GA",912,8,0.9805,11.411,96,1.94690265486726,4.45161290322581
"Zip","30017","GA","Atlanta-Sandy Springs-Marietta, GA",3561,8,0.9795,12.5749,120,6.63716814159292,4.45161290322581
"Zip","30294","GA","Atlanta-Sandy Springs-Marietta, GA",2239,8,0.947,11.1111,102.5,7.16814159292035,4.45161290322581
"Zip","30107","GA","Atlanta-Sandy Springs-Marietta, GA",3761,8,0.9439,11.6719,113,9.11504424778761,4.45161290322581
"Zip","30035","GA","Atlanta-Sandy Springs-Marietta, GA",3468,8,0.9628,10.7492,103,6.54867256637168,4.45161290322581
"Zip","30281","GA","Atlanta-Sandy Springs-Marietta, GA",1011,8,0.9785,12.3159,97,3.27433628318584,4.45161290322581
"Zip","30317","GA","Atlanta-Sandy Springs-Marietta, GA",3709,8,0.9747,12.987,101,5.48672566371681,4.45161290322581
"Zip","30078","GA","Atlanta-Sandy Springs-Marietta, GA",2660,8,0.9764,15.4867,102,6.99115044247788,4.45161290322581
"Zip","30047","GA","Atlanta-Sandy Springs-Marietta, GA",1369,8,0.9703,14.9109,104,8.58407079646018,4.45161290322581
"Zip","30236","GA","Atlanta-Sandy Springs-Marietta, GA",1623,8,0.9846,12.4324,107,4.24778761061947,4.45161290322581
"Zip","30034","GA","Atlanta-Sandy Springs-Marietta, GA",1859,8,0.9637,10.1045,88,3.09734513274336,4.45161290322581
"Zip","30310","GA","Atlanta-Sandy Springs-Marietta, GA",2678,8,0.9332,14.5558,103,9.64601769911504,4.45161290322581
