"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02"
"33950","Punta Gorda","FL","Punta Gorda","Charlotte",,63.5262,,,,,,,,92.4555160142349,,74.0562,72.5338,72.7808,74.6044,77.0919,,72.1103,67.8146,,65.7196,,75.5927,73.2153,69.88,75.553,73.4818,79.2765,86.7449,,73.7165,,82.0875,82.993,,72.8132,82.7686,82.6113,86.6904,89.4276,,86.6863,81.9544,87.7099,86.9085,89.6379,,90.2014,88.7629,87.7997,83.4103,89.5926,92.8336,89.9027,86.9582,91.4324,86.5112,88.6188,90.4343,95.4267,96.6383,97.2113,99.3097,,89.6444,99.9511,96.5545,101.1381,100.4512,101.7059,105.0883,110.1413,100.5403,101.4301,107.3824,110.1579,108.4112,116.6109,119.7189,116.3185,120.8014,127.3629,131.2018,131.5987,133.8625,132.4122,137.3144,141.2784,151.2726,150.329,157.5634,156.6021,153.2434,149.453,150.0413,137.0446,132.1365,136.7374,136.5524,144.6045,161.2866,183.696,158.6876,,137.0224,153.8445,188.1648,193.5968,203.6449,191.4812,209.5181,223.2732,214.5197,202.8694,204.3872,195.173,203.9338,,,,,133.504624871531,,,,,,,,206.318537859008,192.6362,187.6824,170.3146,152.8474,185.1954,182.7722,198.6414,170.1291,150.5921,,,,124.626121635095,,151.7188,159.7763,157.7203,,,114.754098360656,,,115.933412604043,,,114.649681528662,101.4179,100.0883,106.8314,107.2331,112.1135,101.9522,91.1528,92.7772,98.7186,98.9377,,103.9384,106.5117,102.3491,112.5861,104.5599,90.4055,86.7779,86.6298,86.4965,92.3731,,95.3413,97.2315,102.5497,98.2876,93.8203,91.2013,91.0485,92.1534,,77.6616,79.0254,92.9839,95.8321,90.7307,96.6785,104.3779,102.1894,104.2402,110.623,107.3383,98.018,100.6733,103.4935,101.0028,101.7802,104.7961,108.6144,110.7385,104.0039,102.6785,106.0231,110.0543,109.2016,104.9938,104.7675,99.5034,97.5663,105.8797,114.5102,111.1145,112.8728,112.0407,113.8173,111.7714,113.3612,119.5261,124.5055,129.6042,
"01701","Framingham","MA","Boston","Middlesex",,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3575883575884,,,,,,,,,,,95.6692913385827,97.4428,102.7093,,,,,106.832971800434,,,,,,,,128.627968337731,,,,,,,,,,,171.730515191546,,,,,,,,,161.290322580645,,178.2803,,,,,,,,,,,,,229.901269393512,221.8,213.1933,,,,,,,,,,249.188311688312,269.9032,,,,,,,,,267.916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33709","Kenneth City","FL","Tampa","Pinellas",,,,,,,,,,43.3734939759036,40.7551,43.6407,45.1601,41.8699,37.8534,39.7335,38.9262,39.7964,39.6515,40.843,42.0758,,,,,,54.6184738955823,52.3364,54.0638,,59.6894,,54.175,,47.0132,43.7889,40.4144,42.1954,45.3901,52.2325,47.6125,48.3656,43.906,42.4965,39.8914,,,,62.5153374233129,59.2759,60.9661,,,,,,49.3074792243767,,52.0428,46.0999,46.1022,46.8983,49.5787,55.0685,56.9219,58.1269,52.3999,49.4478,54.6996,,52.8557,51.4226,50.6814,54.9755,56.468,55.9284,54.7591,57.2294,58.2109,55.2896,56.4018,56.3184,64.9098,66.1016,61.9868,62.5605,64.5535,61.8944,65.3713,65.0791,61.2255,60.113,66.4685,68.8818,72.7473,71.6204,69.6811,72.1493,82.124,87.1087,82.5655,81.7643,74.8862,77.9948,79.4825,,,,,79.2792792792793,,111.7781,,116.2227,128.3992,135.7887,142.2573,131.2042,114.5157,112.6947,123.8392,124.4946,,,,,,,103.267973856209,,,118.061674008811,106.0282,,,,136.391816491011,,,,,,86.3436123348018,,,77.0833333333333,,,,,,,,65.625,,72.7214,,61.9886,,55.4819,,,51.2455516014235,56.8239,55.7276,,,42.5287356321839,45.8916,47.2653,51.0639,,,,,,46.6666666666667,,,51.4056224899598,45.5236,41.0602,41.0709,48.03,51.2599,,,,27.5862068965517,,,,,,,,,,,,,,,,,,,,,,,31.4285714285714,37.338,42.0304,40.1453,42.0137,42.2168,48.7583,41.693,44.2762,41.906,45.7748,43.166,42.7753,45.7503,45.4473,49.0073
"68134","Omaha","NE","Omaha","Douglas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.64285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80521","Fort Collins","CO","Fort Collins","Larimer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4014598540146,,,,,,,,,,,96.4912280701754,99.7194,,,,,,,97.7777777777778,,93.7232,,95.2171,105.7358,,,,109.491525423729,,,115.169491525424,,111.6737,111.9322,114.4754,115.5773,119.6116,,,,,,,,127.465986394558,126.532,122.2051,129.7766,,,131.25,,,,,,,127.51756440281,136.0949,133.6928,,,,,,,,,124.671916010499,131.5011,128.0848,127.4241,129.0259,,,,,,,,134.711779448622,137.9474,128.3088,127.4555,,,,,,,,,128.113879003559,132.4851,129.8493,125.7903,,,,,,,,,127.033898305085,131.5503,130.8229,127.6581,,,,,,,,,114.930555555556,121.6015,,,,,,,,,,,,123.299319727891,131.7852,,,,,,,,,,,114.795918367347,,,,,,,,,,,120.323129251701,,,,,,,,,,,,,,,144.005102040816,,,,,,,,,130.095923261391,143.612,141.9403,,,,,,,,,,156.323877068558,159.1725,,152.5025,,,,,,
"94561","Oakley","CA","San Francisco","Contra Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0960698689956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33905","Fort Myers","FL","Fort Myers","Lee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.269471290506,98.837,,,,,,,,132.177373507675,,,118.659881255301,116.8798,,148.6071,,,,,159.010801591814,,,128.958120531154,129.658,132.7496,,146.4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0788643533123,51.3647,,,,,,,,57.7664974619289,,,66.0700389105058,68.637,70.2766,,,,,,,71.4675395526459,,
"37803","Maryville","TN","Knoxville","Blount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.333333333333,,,
"33903","North Fort Myers","FL","Fort Myers","Lee",,,,,,,,,,,,46.398891966759,,,,,,,,,47.3684210526316,,,44.0081245768449,47.1947,,,,52.1739130434783,,,,,,,47.008547008547,45.9562,54.5237,,,,,,,,,60.077519379845,64.1286,,,,,55.5555555555556,54.2057,,48.553,,,,58.5898709036743,65.7527,60.2662,,,,,,62.5,,,59.4315245478036,67.539,66.1831,,,,,,,,68.8505747126437,71.2847,,,86.4318330071755,,112.0823,,,,,114.893617021277,,88.406,,,86.5633074935401,89.3963,,,,,,,,90.3100775193798,,108.8476,116.1783,113.5101,,132.3979,149.6484,,,,163.98891966759,159.8337,,164.5112,163.8031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.068441064639,,,,,,,,,,62.8366247755835,55.482,71.4106,96.6436,110.6729,,70.5293,,,,,,,84.7029077117573,88.3455,91.2318,88.6849,,,90.4159132007233,,,,54.7016274864376,49.5495495495496,59.5406,,60.1983,55.7975,,61.28,,,,,47.9082321187584,,62.8738,55.3115,51.8756,63.8836,73.9291,,,,,53.9811066126856,,,,82.5503355704698,69.6723,62.9649,68.072,57.5599,,,96.799173980382,,77.1035,,
"27614","Raleigh","NC","Raleigh","Wake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
