"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-02-28,"11212","NY","New York","Kings","New York",43,1849,-0.0138666666666667,-0.0637974683544304,-0.0882642998027613,1616
2015-02-28,"60625","IL","Chicago","Cook","Chicago",44,1726,0.012316715542522,-0.00461361014994233,-0.00747556066705003,9840
2015-02-28,"77036","TX","Houston","Harris","Houston",45,1250,-0.00398406374501992,0.00401606425702811,0.0254306808859721,9777
2015-02-28,"63376","MO","St. Louis","Saint Charles","Saint Peters",46,1388,0.00725689404934688,0.012399708242159,0.0389221556886228,24653
2015-02-28,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",47,1968,0.00203665987780041,-0.000507872016251904,0.0660888407367281,6200
2015-02-28,"60629","IL","Chicago","Cook","Chicago",48,1336,-0.00074794315632012,-0.01620029455081,-0.0233918128654971,18537
2015-02-28,"29483","SC","Charleston","Dorchester","Summerville",49,1249,0.00888529886914378,0.0271381578947368,0.0137987012987013,18202
2015-02-28,"10024","NY","New York","New York","New York",50,4428,0.0148980059592024,0.010036496350365,0.0990320178704393,3241
2015-02-28,"77584","TX","Houston","Brazoria","Pearland",51,1905,0.00527704485488127,0.00793650793650794,0.0744500846023689,17900
2015-02-28,"11206","NY","New York","Kings","New York",52,2592,0.00387296669248644,-0.015571591340676,-0.104972375690608,2228
2015-02-28,"37042","TN","Clarksville","Montgomery","Clarksville",53,926,0.00108108108108108,0,-0.0169851380042463,19199
2015-02-28,"11214","NY","New York","Kings","New York",54,2025,0.0079641612742658,0.0109835247129306,-0.0761861313868613,2381
2015-02-28,"78613","TX","Austin","Williamson","Cedar Park",55,1711,0.00469759248385203,0.00528789659224442,0.0375985445724682,18225
2015-02-28,"78521","TX","Brownsville","Cameron","Brownsville",56,866,0.0383693045563549,0.106002554278416,0.0717821782178218,19677
2015-02-28,"30096","GA","Atlanta","Gwinnett","Duluth",57,1298,0.00231660231660232,0.0132708821233411,0.0561432058584215,14070
