UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52 
431309,"R",304,"R",0,"R",304,"R",215,"R",229,"R",3,"R",2,"R",70
431558,"R",327,"R",0,"R",327,"R",181,"R",183,"R",2,"R",55,"R",87
431637,"R",447,"R",0,"R",447,"R",48,"R",216,"R",0,"R",0,"R",231
431691,"R",34,"R",0,"R",34,"R",32,"R",32,"R",0,"R",0,"R",2
431716,"R",434,"R",0,"R",434,"R",163,"R",163,"R",0,"R",0,"R",271
431770,"R",21,"R",0,"R",21,"R",17,"R",18,"R",0,"R",0,"R",3
431877,"R",19,"R",0,"R",19,"R",19,"R",19,"R",0,"R",0,"R",0
431929,"R",42,"R",0,"R",42,"R",17,"R",18,"R",0,"R",0,"R",24
431956,"R",64,"Z",0,"R",64,"R",12,"R",43,"Z",0,"R",2,"R",19
431965,"R",100,"R",0,"R",100,"R",65,"R",65,"R",0,"R",0,"R",35
432074,"R",55,"R",0,"R",55,"R",37,"R",37,"Z",0,"Z",0,"R",18
432117,"R",47,"R",0,"R",47,"R",7,"R",35,"R",0,"R",0,"R",12
432269,"R",175,"R",0,"R",175,"R",50,"R",156,"R",3,"R",0,"R",16
433040,"R",38,"R",0,"R",38,"R",31,"R",31,"R",0,"R",0,"R",7
433138,"R",214,"R",0,"R",214,"R",132,"R",132,"Z",0,"R",3,"R",79
433466,"R",1244,"R",2,"R",1242,"R",211,"R",826,"R",2,"R",3,"R",411
433970,"R",239,"R",1,"R",238,"R",119,"R",145,"R",0,"R",0,"R",93
434122,"R",8,"R",0,"R",8,"Z",0,"R",8,"R",0,"R",0,"R",0
434274,"R",75,"R",0,"R",75,"R",54,"R",62,"R",2,"R",10,"R",1
434283,"R",69,"R",0,"R",69,"R",48,"R",48,"R",0,"R",13,"R",8
434308,"R",430,"R",0,"R",430,"R",104,"R",311,"R",15,"R",0,"R",104
434344,"R",67,"R",0,"R",67,"R",0,"R",56,"R",0,"R",0,"R",11
434362,"R",32,"R",0,"R",32,"R",24,"R",24,"R",0,"R",0,"R",8
434380,"R",71,"Z",0,"R",71,"R",32,"R",53,"Z",0,"Z",0,"R",18
434469,"R",96,"R",0,"R",96,"R",72,"R",78,"R",0,"R",0,"R",18
434496,"R",52,"R",0,"R",52,"R",10,"R",33,"R",0,"R",13,"R",6
434502,"R",108,"R",0,"R",108,"R",2,"R",54,"R",0,"R",0,"R",54
434520,"R",461,"R",0,"R",461,"R",212,"R",253,"R",0,"R",1,"R",207
434812,"R",48,"R",0,"R",48,"R",42,"R",42,"R",0,"R",0,"R",6
434900,"R",482,"R",0,"R",482,"R",350,"R",362,"R",0,"R",1,"R",119
436003,"R",74,"R",0,"R",74,"R",54,"R",61,"R",0,"R",0,"R",13
436012,"R",491,"R",0,"R",491,"R",250,"R",347,"R",0,"R",17,"R",127
436030,"R",46,"R",0,"R",46,"R",10,"R",16,"R",0,"R",18,"R",12
436067,"R",66,"Z",0,"R",66,"R",4,"R",50,"Z",0,"Z",0,"R",16
436465,"R",517,"R",0,"R",517,"R",372,"R",383,"Z",0,"Z",0,"R",134
436553,"R",13,"R",0,"R",13,"R",5,"R",10,"R",0,"R",0,"R",3
436632,"R",72,"R",0,"R",72,"R",10,"R",62,"R",10,"R",0,"R",0
436641,"R",142,"Z",0,"R",142,"R",17,"R",83,"Z",0,"Z",0,"R",59
436650,"R",278,"R",0,"R",278,"R",134,"R",179,"R",0,"R",0,"R",99
436775,"R",111,"R",0,"R",111,"R",22,"R",69,"Z",0,"R",1,"R",41
437501,"R",35,"R",0,"R",35,"R",12,"R",20,"R",0,"R",0,"R",15
437529,"R",175,"R",0,"R",175,"R",0,"R",140,"R",0,"R",0,"R",35
437556,"R",368,"R",1,"R",367,"R",27,"R",264,"R",3,"R",0,"R",100
437608,"R",123,"R",0,"R",123,"R",19,"R",78,"R",0,"R",10,"R",35
437653,"R",104,"R",0,"R",104,"R",57,"R",61,"R",0,"R",0,"R",43
